Wavelength (micron),Transit Depth (%): best fit equilibrium,Transit Depth (%): CH4 upper limit,Transit Depth (%): no clouds,Transit Depth (%): no CO2,Transit Depth (%): no H2O,Transit Depth (%): no H2S,Transit Depth (%): cloudy solar
2.736676437,2.158989698,2.154301596,2.148565378,2.147966187,2.153210691,2.158540542,2.154895822
2.745813921,2.155746546,2.151076289,2.1428932,2.140843677,2.156032299,2.155958098,2.144938768
2.754981914,2.156897924,2.152221071,2.144302104,2.14729236,2.146717838,2.157637442,2.152925346
2.764180518,2.150224134,2.145563227,2.13270088,2.141567505,2.147003471,2.148612926,2.152578666
2.773409835,2.155651036,2.150967857,2.142502,2.14777613,2.143153254,2.155115716,2.151313114
2.782669968,2.161929055,2.157230891,2.153848478,2.152044476,2.147358437,2.162188801,2.160866817
2.79196102,2.154236799,2.149567444,2.13902824,2.144629248,2.143645318,2.154314997,2.15282842
2.801283093,2.162578879,2.157876752,2.154008223,2.152646343,2.14200671,2.16329327,2.159156917
2.810636292,2.157800992,2.153119116,2.144669313,2.14843008,2.141374245,2.158767094,2.154757198
2.82002072,2.161503838,2.156806791,2.15254866,2.151122073,2.142472379,2.163235477,2.160268192
2.829436482,2.148253603,2.143622524,2.127515602,2.137207617,2.141301736,2.149046511,2.145470089
2.838883683,2.163640789,2.158931816,2.15575398,2.154490046,2.142808638,2.165389846,2.158637995
2.848362426,2.155571957,2.15089638,2.141979976,2.145865816,2.140385561,2.15765979,2.146081546
2.857872818,2.154319909,2.149662932,2.139384522,2.145878499,2.138866767,2.156245662,2.154413176
2.867414965,2.14656688,2.14195021,2.124862831,2.138487268,2.13073801,2.148452707,2.145685662
2.876988971,2.150658336,2.146027396,2.131725736,2.143642274,2.129602233,2.15293074,2.144920322
2.886594944,2.15138639,2.146761707,2.132756505,2.146531566,2.123180972,2.153872096,2.144269759
2.896232991,2.149355033,2.144758025,2.128931044,2.144985096,2.119197906,2.151976459,2.141116627
2.905903218,2.154380191,2.14976093,2.137829745,2.152056426,2.113839975,2.157161726,2.157349115
2.915605733,2.140488616,2.136012787,2.113153836,2.138152281,2.108168799,2.142947661,2.142017277
