time,potValue,sensorValue
140895,503,506
141096,503,506
141298,503,506
141500,503,506
141702,503,506
141903,503,505
142106,503,505
142308,503,505
142510,503,505
142711,503,504
142913,503,504
143115,503,504
143316,503,504
143519,503,503
143721,503,503
143923,503,503
144124,503,503
144326,503,503
144528,503,503
144730,503,502
144932,503,502
145134,503,502
145336,504,502
145538,503,502
145739,503,502
145941,503,502
146143,503,502
146345,503,502
146547,503,501
146749,503,501
146951,503,501
147152,503,501
147354,504,501
147556,503,501
147758,504,501
147960,504,500
148162,504,500
148364,504,500
148566,504,500
148767,503,500
148969,503,500
149171,503,500
149373,503,499
149575,504,500
149777,503,499
149979,503,499
150180,504,499
150382,503,499
150584,503,499
150787,503,499
150988,504,499
151190,503,499
151392,503,498
151593,503,498
151795,503,498
151997,503,498
152200,503,498
152401,503,498
152603,503,498
152805,504,498
153007,503,498
153208,503,498
153410,503,498
153612,503,497
153815,503,498
154016,503,498
154218,503,497
154420,503,497
154621,503,497
154823,503,497
155025,503,497
155228,503,497
155429,503,497
155631,503,497
155833,503,497
156035,503,497
156236,503,497
156438,503,497
156641,503,497
156843,503,497
157044,504,497
157246,503,497
157448,503,497
157649,503,497
157851,503,496
158053,503,497
158256,504,496
158457,504,496
158659,504,496
158861,503,496
159063,503,496
159264,503,496
159466,503,495
159669,504,495
159870,503,495
160072,503,495
160274,503,495
160476,504,495
160677,503,495
160879,503,495
161082,503,494
161284,503,494
161485,503,494
161687,503,494
161889,503,494
162091,503,494
162292,503,494
162495,503,493
162697,503,493
162898,503,493
163100,503,493
163302,504,493
163504,503,493
163705,503,493
163907,503,493
164110,503,492
164312,503,492
164513,503,492
164715,504,492
164917,503,492
165118,503,492
165320,503,492
165523,503,492
165725,503,492
165926,503,492
166128,503,492
166330,503,491
166532,503,491
166733,503,491
166936,503,491
167138,503,491
167340,503,491
167541,504,491
167743,503,491
167945,503,491
168146,503,491
168349,503,491
168551,503,491
168753,503,491
168954,503,490
169156,503,491
169358,503,490
169560,503,491
169761,503,490
169964,504,490
170166,503,490
170368,503,491
170569,503,491
170771,503,490
170973,503,490
171174,503,490
171377,503,490
171579,503,490
171781,503,490
171982,503,490
172184,503,489
172386,503,490
172588,503,489
172790,503,490
172992,503,490
173194,503,489
173395,503,490
173597,503,490
173799,503,490
174001,503,490
174203,503,489
174405,503,490
174607,503,490
174809,503,490
175010,503,489
175212,503,490
175414,503,489
175616,503,490
175818,503,490
176020,503,490
176222,503,489
176423,504,490
176625,503,490
176827,503,490
177029,503,490
177231,503,489
177433,503,490
177635,503,490
177837,504,489
178038,503,490
178240,503,490
178442,503,490
178644,503,490
178846,503,490
179048,503,490
179250,503,490
179451,503,490
179653,503,490
179855,504,490
180057,503,490
180259,503,490
180461,503,490
180663,503,490
180865,503,490
181066,503,490
181268,503,490
181470,503,490
181672,503,490
181874,503,490
182076,503,491
182278,503,491
182479,503,491
182681,503,491
182883,503,491
183086,504,491
183287,503,491
183489,503,491
183691,484,492
183892,395,491
184094,249,491
184296,117,491
184499,2,491
184700,0,491
184902,0,492
185104,0,491
185306,0,492
185507,0,491
185709,0,492
185911,0,491
186113,0,491
186314,0,491
186516,0,491
186718,0,491
186919,0,491
187121,0,491
187323,0,491
187525,0,491
187726,0,490
187928,0,490
188130,0,490
188333,0,490
188534,0,490
188736,0,490
188938,0,490
189139,0,490
189341,0,489
189543,0,489
189745,0,489
189946,0,489
190148,0,489
190350,0,489
190552,0,488
190753,0,489
190955,0,489
191157,0,488
191358,0,488
191560,0,488
191762,0,488
191964,0,488
192166,0,488
192368,0,487
192570,0,487
192772,0,487
192973,0,487
193175,0,487
193377,0,487
193579,0,487
193780,0,487
193982,0,487
194184,0,487
194385,0,486
194587,0,486
194789,0,486
194991,0,486
195192,0,486
195394,0,486
195596,0,486
195798,0,485
195999,0,486
196202,0,485
196404,0,485
196605,0,485
196807,0,485
197009,0,485
197211,0,485
197412,0,485
197614,0,485
197816,0,485
198018,0,485
198219,0,485
198421,0,484
198623,0,485
198824,0,484
199026,0,484
199228,0,484
199430,0,484
199631,0,484
199833,0,484
200035,0,484
200238,0,484
200439,0,484
200641,0,484
200843,0,484
201044,0,484
201246,0,484
201448,0,484
201650,0,484
201851,0,483
202053,0,484
202255,0,483
202457,0,483
202658,0,483
202860,0,483
203062,0,483
203264,0,483
203465,0,483
203667,0,483
203869,0,483
204071,0,483
204273,0,483
204475,0,483
204677,0,482
204878,0,482
205080,0,483
205282,0,482
205484,0,483
205685,0,482
205887,0,482
206089,0,482
206290,0,482
206492,0,482
206694,0,482
206896,0,482
207097,0,482
207299,0,482
207501,0,482
207703,0,482
207904,0,482
208107,0,481
208309,0,482
208510,0,482
208712,0,481
208914,0,481
209116,0,481
209317,0,481
209519,0,481
209721,0,481
209923,0,481
210124,0,481
210326,0,481
210528,0,481
210729,0,481
